Iteration   26000, MSE = 0.00005
Iteration   26100, MSE = 0.00005
Iteration   26200, MSE = 0.00005
Iteration   26300, MSE = 0.00005
Iteration   26400, MSE = 0.00005
Iteration   26500, MSE = 0.00005
Iteration   26600, MSE = 0.00005
Iteration   26700, MSE = 0.00005
Iteration   26800, MSE = 0.00005
Iteration   26900, MSE = 0.00005
Iteration   27000, MSE = 0.00005
Iteration   27100, MSE = 0.00005
Iteration   27200, MSE = 0.00005
Iteration   27300, MSE = 0.00004
Iteration   27400, MSE = 0.00004
Iteration   27500, MSE = 0.00004
Iteration   27600, MSE = 0.00004
Iteration   27700, MSE = 0.00004
Iteration   27800, MSE = 0.00004
Iteration   27900, MSE = 0.00004
Iteration   28000, MSE = 0.00004
Iteration   28100, MSE = 0.00004
Iteration   28200, MSE = 0.00004
Iteration   28300, MSE = 0.00004
Iteration   28400, MSE = 0.00004
Iteration   28500, MSE = 0.00004
Iteration   28600, MSE = 0.00004
Iteration   28700, MSE = 0.00004
Iteration   28800, MSE = 0.00004
Iteration   28900, MSE = 0.00004
Iteration   29000, MSE = 0.00004
Iteration   29100, MSE = 0.00004
Iteration   29200, MSE = 0.00004
Iteration   29300, MSE = 0.00004
Iteration   29400, MSE = 0.00004
Iteration   29500, MSE = 0.00004
Iteration   29600, MSE = 0.00004
Iteration   29700, MSE = 0.00004
Iteration   29800, MSE = 0.00004
Iteration   29900, MSE = 0.00004
Iteration   30000, MSE = 0.00004
Iteration   30100, MSE = 0.00004
Iteration   30200, MSE = 0.00004
Iteration   30300, MSE = 0.00004
Iteration   30400, MSE = 0.00004
Iteration   30500, MSE = 0.00004
Iteration   30600, MSE = 0.00004
Iteration   30700, MSE = 0.00004
Iteration   30800, MSE = 0.00004
Iteration   30900, MSE = 0.00004
Iteration   31000, MSE = 0.00004
Iteration   31100, MSE = 0.00004
Iteration   31200, MSE = 0.00004
Iteration   31300, MSE = 0.00004
Iteration   31400, MSE = 0.00004
Iteration   31500, MSE = 0.00004
Iteration   31600, MSE = 0.00004
Iteration   31700, MSE = 0.00004
Iteration   31800, MSE = 0.00004
Iteration   31900, MSE = 0.00004
Iteration   32000, MSE = 0.00004
Iteration   32100, MSE = 0.00004
Iteration   32200, MSE = 0.00004
Iteration   32300, MSE = 0.00004
Iteration   32400, MSE = 0.00004
Iteration   32500, MSE = 0.00004
Iteration   32600, MSE = 0.00004
Iteration   32700, MSE = 0.00004
Iteration   32800, MSE = 0.00004
Iteration   32900, MSE = 0.00004
Iteration   33000, MSE = 0.00004
Iteration   33100, MSE = 0.00004
Iteration   33200, MSE = 0.00004
Iteration   33300, MSE = 0.00004
Iteration   33400, MSE = 0.00004
Iteration   33500, MSE = 0.00004
Iteration   33600, MSE = 0.00004
Iteration   33700, MSE = 0.00003
Iteration   33800, MSE = 0.00003
Iteration   33900, MSE = 0.00003
Iteration   34000, MSE = 0.00003
Iteration   34100, MSE = 0.00003
Iteration   34200, MSE = 0.00003
